sa_2022_code,town_name,town_name_alt,county,method,distance_km
017022003,Hacketstown,,Carlow,within_settlement,0.17
017022004,Hacketstown,,Carlow,within_settlement,0.17
017023001,Hacketstown,,Carlow,nearest_settlement,4.86
017024001,Kernanstown,,Carlow,nearest_settlement,1.84
017024002,Kernanstown,,Carlow,within_settlement,0.26
017025001,Tinryland,,Carlow,within_settlement,0.0
017025002,Rathtoe,,Carlow,nearest_settlement,2.84
017025003,Tinryland,,Carlow,nearest_settlement,1.6
017026001,Ballon,,Carlow,nearest_settlement,2.6
017026002,Ballon,,Carlow,nearest_settlement,3.86
017027001,Borris,,Carlow,nearest_settlement,3.78
017027002,Borris,,Carlow,nearest_settlement,5.45
017028001,Palatine,,Carlow,nearest_settlement,4.07
017029001,Rathvilly,,Carlow,nearest_settlement,3.94
017030001,Borris,,Carlow,nearest_settlement,4.33
017031001,Leighlinbridge,,Carlow,nearest_settlement,2.05
017031002,Muinebeag (Bagenalstown),,Carlow,nearest_settlement,2.18
017031004,Leighlinbridge,,Carlow,within_settlement,0.25
017031005/01/017031003,Leighlinbridge,,Carlow,nearest_settlement,0.69
017031005/02,Leighlinbridge,,Carlow,within_settlement,0.21
017031006,Leighlinbridge,,Carlow,within_settlement,0.29
017032001,Borris,,Carlow,nearest_settlement,7.25
017033001,Muinebeag (Bagenalstown),,Carlow,nearest_settlement,1.65
017033002,Muinebeag (Bagenalstown),,Carlow,nearest_settlement,3.08
017034001,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.95
017034002,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.27
017034003,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.35
017034004,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.44
017034005,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.65
017034006,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.09
017034007,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.28
017034008,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.29
017034009,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.54
017034010,Muinebeag (Bagenalstown),,Carlow,within_settlement,0.87
017034011,Muinebeag (Bagenalstown),,Carlow,within_settlement,1.21
017035001,Myshall,,Carlow,nearest_settlement,2.01
017035002/01,Myshall,,Carlow,within_settlement,0.0
017035002/02,Myshall,,Carlow,nearest_settlement,0.56
017036001,Leighlinbridge,,Carlow,nearest_settlement,3.68
017036002,Tinryland,,Carlow,nearest_settlement,3.87
017036003,Tinryland,,Carlow,nearest_settlement,1.93
017037001,Leighlinbridge,,Carlow,nearest_settlement,3.98
017037002,Leighlinbridge,,Carlow,nearest_settlement,1.99
017038001,Rathvilly,,Carlow,within_settlement,0.52
017038002,Rathvilly,,Carlow,within_settlement,0.76
017038003,Rathvilly,,Carlow,nearest_settlement,1.95
017039001,Borris,,Carlow,nearest_settlement,7.62
017040001/017040002,Ballinabrannagh,,Carlow,nearest_settlement,2.81
017041001/01,Ballon,,Carlow,nearest_settlement,2.14
017041001/02,Ballon,,Carlow,within_settlement,0.53
017041002,Rathtoe,,Carlow,nearest_settlement,3.02
017041003,Rathtoe,,Carlow,within_settlement,0.0
017042001,Rathvilly,,Carlow,within_settlement,0.27
017042002/017042003,Rathvilly,,Carlow,nearest_settlement,2.12
017042004,Rathvilly,,Carlow,within_settlement,0.36
017043001,Leighlinbridge,,Carlow,nearest_settlement,5.87
017044001,Myshall,,Carlow,nearest_settlement,2.44
017044002,Myshall,,Carlow,nearest_settlement,2.8
017045001,Borris,,Carlow,nearest_settlement,4.66
017045002,Muinebeag (Bagenalstown),,Carlow,nearest_settlement,4.28
017046001,Tullow,,Carlow,nearest_settlement,3.4
017047001,Fennagh,,Carlow,nearest_settlement,4.16
017047002,Rathtoe,,Carlow,nearest_settlement,3.76
017048001,Hacketstown,,Carlow,nearest_settlement,4.92
017049001,Borris,,Carlow,nearest_settlement,9.49
017049002,Graiguenamanagh-Tinnahinch,,Carlow,within_settlement,0.48
017049003,Graiguenamanagh-Tinnahinch,,Carlow,within_settlement,0.67
017050001,Tullow,,Carlow,within_settlement,1.42
017050002,Tullow,,Carlow,nearest_settlement,1.92
