sa_2022_code,d_nursing_km,d_homecare_km,d_fci_km,d_nearest_km,support_nearby,nearest_type,nearest_loc,pr_distance,isolation,vulnerability,service_desert
217177007,0.41,28.12,36.21,28.12,0,homecare,county,91.26,83.22,61.48,56.11
217177008,0.19,28.16,36.53,28.16,0,homecare,county,91.31,92.57,47.35,43.24
217177009,0.52,28.25,37.21,28.25,0,homecare,county,91.36,90.01,62.22,56.84
217177010,0.7,28.41,37.32,28.41,0,homecare,county,91.56,86.0,61.12,55.96
217177011,1.22,28.62,37.78,28.62,0,homecare,county,91.84,87.51,69.69,64.0
217177012,0.89,28.52,37.46,28.52,0,homecare,county,91.71,85.63,67.43,61.84
217177013,0.21,26.94,36.49,26.94,0,homecare,county,90.1,58.16,51.61,46.5
217177014,0.41,27.33,36.55,27.33,0,homecare,county,90.52,74.58,57.02,51.61
227001001,10.81,16.4,19.02,16.4,7,homecare,town,73.18,41.48,43.61,31.91
227001002/227001004,7.84,14.23,16.75,14.23,6,homecare,town,68.01,34.76,25.76,17.52
227001003,7.41,11.71,14.33,11.71,6,homecare,town,61.28,44.9,28.66,17.56
227001005,8.54,13.24,15.87,13.24,6,homecare,town,65.27,38.02,31.77,20.74
227002001,7.52,13.98,37.25,13.98,1,homecare,county,67.41,50.73,34.95,23.56
227003001/227003005,6.68,22.68,45.34,22.68,1,homecare,county,84.38,42.94,50.24,42.39
227003003,7.94,21.34,44.19,21.34,1,homecare,county,82.69,55.34,71.14,58.83
227003004/227003002,8.46,22.91,45.91,22.91,1,homecare,county,84.71,77.65,72.0,60.99
227003006,7.84,22.6,45.48,22.6,1,homecare,county,84.29,78.39,68.22,57.5
227004001,8.76,26.53,31.25,26.53,0,homecare,county,89.66,46.64,34.57,31.0
227005001,12.0,16.75,20.23,16.75,8,homecare,county,74.06,41.08,31.02,22.97
227006001,8.64,10.39,24.13,10.39,3,homecare,county,58.5,36.13,45.35,26.53
227006002,8.9,10.26,26.86,10.26,1,homecare,county,58.24,44.59,49.24,28.68
227007001,5.74,19.45,40.24,19.45,1,homecare,county,79.7,60.64,63.18,50.35
227007002,3.61,21.58,42.17,21.58,1,homecare,county,83.06,47.14,60.98,50.65
227008001,6.91,19.08,23.77,19.08,3,homecare,county,79.11,58.73,48.94,38.72
227008002,3.11,18.42,26.8,18.42,1,homecare,county,77.82,56.16,51.24,39.87
227009001,15.8,15.6,23.95,15.6,6,homecare,county,71.32,37.94,56.28,40.14
227010001,7.42,7.65,8.45,7.65,3,homecare,town,52.34,44.62,42.25,22.11
227010002,7.62,8.11,9.01,8.11,3,homecare,town,53.36,31.68,39.55,21.1
227011001,10.33,17.24,40.73,17.24,1,homecare,county,75.24,41.83,46.67,35.11
227011002/227011003,9.25,16.4,39.88,16.4,1,homecare,county,73.19,58.69,67.23,49.21
227012001,3.3,5.76,5.76,5.76,6,homecare,town,46.59,30.85,61.59,28.69
227013001,13.44,8.72,18.78,8.72,3,homecare,county,54.6,42.46,55.25,30.17
227014001,6.66,23.15,28.05,23.15,1,homecare,county,85.11,62.45,57.8,49.19
227015001,6.74,1.62,23.9,1.62,3,homecare,county,19.95,18.66,48.84,9.74
227016001,7.38,6.04,26.6,6.04,1,homecare,county,47.56,39.19,54.26,25.81
227016002,5.35,6.12,28.21,6.12,1,homecare,county,47.82,27.39,49.82,23.82
227017002,5.66,13.25,25.95,13.25,1,homecare,county,65.31,65.59,60.08,39.24
227017003,6.03,12.84,25.98,12.84,1,homecare,county,64.1,72.31,58.73,37.65
227017005,6.5,12.37,25.8,12.37,2,homecare,county,62.79,63.64,72.87,45.76
227017006,6.33,12.56,25.71,12.56,2,homecare,county,63.33,68.52,72.97,46.21
227017007/227017001/227017004,7.73,13.25,22.36,13.25,3,homecare,county,65.28,45.01,72.41,47.27
227018001,2.39,20.08,19.78,19.78,7,fci,town,80.24,54.88,52.12,41.82
227018002,2.91,17.26,16.87,16.87,7,fci,town,74.34,44.97,57.76,42.94
227019001,15.63,16.54,24.0,16.54,6,homecare,county,73.51,59.19,51.91,38.16
227020001/227020003,3.17,7.63,30.75,7.63,1,homecare,county,52.26,32.13,55.72,29.12
227020002,5.7,9.19,31.46,9.19,1,homecare,county,55.8,39.74,53.49,29.85
227021001,7.96,26.8,35.3,26.8,0,homecare,county,89.95,56.56,52.83,47.52
227021002,4.84,23.59,33.44,23.59,1,homecare,county,85.75,45.55,47.45,40.69
227022001,7.83,17.39,38.11,17.39,1,homecare,county,75.65,40.57,49.84,37.7
227022002/01,6.27,19.05,39.42,19.05,1,homecare,county,79.04,61.7,57.66,45.57
227022002/02,6.1,19.09,39.88,19.09,1,homecare,county,79.13,63.3,60.91,48.2
227023001,8.93,19.58,19.67,19.58,8,homecare,county,79.92,49.32,59.61,47.64
227023002,8.38,18.36,20.6,18.36,9,homecare,town,77.73,59.04,53.53,41.61
227024001/227024010,4.3,9.97,32.14,9.97,1,homecare,county,57.58,40.71,45.17,26.01
227024002/227024006,3.72,7.67,29.67,7.67,1,homecare,county,52.39,43.45,44.91,23.53
227024003,3.7,8.07,30.12,8.07,1,homecare,county,53.3,44.55,34.72,18.51
227024004/227024005,4.42,8.78,30.5,8.78,1,homecare,county,54.8,36.82,45.23,24.79
227024006/227024005,5.08,5.73,27.04,5.73,1,homecare,county,46.43,26.28,44.82,20.81
227024007,6.38,9.11,29.45,9.11,1,homecare,county,55.61,47.81,32.12,17.86
227024008/227024006,3.08,7.63,29.98,7.63,1,homecare,county,52.28,36.15,23.84,12.46
227024009/227024006,3.41,7.52,29.69,7.52,1,homecare,county,52.01,37.55,25.89,13.47
227025001,6.72,2.14,24.34,2.14,3,homecare,county,26.64,25.24,51.01,13.59
227025002,3.55,4.15,27.48,4.15,1,homecare,county,40.14,22.88,50.67,20.34
227025003,3.69,3.5,26.93,3.5,1,homecare,county,37.05,30.64,30.63,11.35
227026001,14.11,10.28,20.56,10.28,3,homecare,county,58.27,31.02,42.26,24.62
227026002,11.03,9.54,24.72,9.54,3,homecare,county,56.64,59.11,48.66,27.56
227027001,11.48,4.88,19.23,4.88,3,homecare,county,43.1,22.3,45.73,19.71
227028001,10.69,14.57,33.65,14.57,1,homecare,county,68.79,48.65,38.56,26.53
227028002,7.62,13.84,30.83,13.84,1,homecare,county,66.98,40.76,70.11,46.96
227028003,7.75,14.83,31.95,14.83,1,homecare,county,69.46,58.95,71.39,49.59
227029001,10.68,15.5,34.91,15.5,1,homecare,county,71.07,36.28,41.82,29.72
227030001,4.68,7.38,8.22,7.38,6,homecare,town,51.67,32.13,53.83,27.81
227031001,4.7,15.38,29.96,15.38,1,homecare,county,70.8,44.21,68.56,48.54
227032001,0.38,7.06,30.5,7.06,1,homecare,county,50.78,70.91,70.41,35.75
227032002,0.33,7.23,30.67,7.23,1,homecare,county,51.28,67.69,83.35,42.74
227032003,0.63,7.71,31.16,7.71,1,homecare,county,52.48,73.29,80.27,42.13
227032004,0.36,7.47,30.9,7.47,1,homecare,county,51.9,71.63,82.55,42.84
227032005,0.6,7.29,30.77,7.29,1,homecare,county,51.45,66.97,77.22,39.73
227032006,0.3,6.96,30.36,6.96,1,homecare,county,50.44,64.49,48.43,24.43
227032007,0.57,7.56,31.08,7.56,1,homecare,county,52.12,57.7,70.16,36.57
227032008,0.52,7.38,30.89,7.38,1,homecare,county,51.68,51.86,71.94,37.18
227032009,0.13,6.9,30.43,6.9,1,homecare,county,50.27,51.84,74.94,37.67
227032010/01,0.91,6.38,29.82,6.38,1,homecare,county,48.63,32.9,53.37,25.95
227032010/02,1.23,6.03,29.44,6.03,1,homecare,county,47.52,59.95,54.26,25.78
227032011,0.43,7.19,30.7,7.19,1,homecare,county,51.19,69.0,71.15,36.42
227032012,0.63,6.99,30.48,6.99,1,homecare,county,50.53,71.8,61.48,31.07
227032013,0.81,6.63,30.11,6.63,1,homecare,county,49.43,69.83,71.19,35.19
227032014,0.41,6.91,30.42,6.91,1,homecare,county,50.3,66.63,76.4,38.43
227032015,0.5,6.53,30.06,6.53,1,homecare,county,49.08,56.42,66.67,32.72
227032016,0.24,7.49,30.88,7.49,1,homecare,county,51.96,69.49,78.42,40.75
227032017,0.33,7.52,30.86,7.52,1,homecare,county,52.01,64.34,72.74,37.83
227032018/227032019,0.27,7.31,30.65,7.31,1,homecare,county,51.51,70.23,54.74,28.2
227033001,1.85,7.13,30.01,7.13,1,homecare,county,50.97,32.62,30.63,15.61
227033002,1.43,6.87,29.92,6.87,1,homecare,county,50.22,27.5,16.87,8.47
227033003/01,1.3,7.13,30.2,7.13,1,homecare,county,50.96,44.48,38.27,19.5
227033003/02,0.86,7.11,30.31,7.11,1,homecare,county,50.93,51.98,43.87,22.34
227033004,1.18,7.36,30.46,7.36,1,homecare,county,51.62,66.17,49.99,25.8
